image_name,confidence value,IoU value
IMG_20180717_120957.jpg,0,0
IMG_20180725_120338.jpg,0,0
IMG_20180713_111144.jpg,0,0
IMG_1284.jpg,0,0
IMG_20180721_090506.jpg,0,0
IMG_20180724_124841.jpg,0,0
IMG_20180720_142545.jpg,0,0
IMG_20180721_090927.jpg,0,0
IMG_20180724_150507.jpg,0,0
IMG_20180723_123340.jpg,0,0
IMG_1302.jpg,0,0
IMG_20180721_090151.jpg,0,0
IMG_20180720_142509.jpg,0,0
IMG_20180723_124655.jpg,0,0
IMG_20180723_123437.jpg,0,0
IMG_20180720_142111.jpg,0,0
IMG_20180719_142631.jpg,0,0
IMG_20180724_121053.jpg,0,0
IMG_20180724_125230.jpg,0,0
IMG_20180723_123154.jpg,0,0
IMG_20180714_103103.jpg,0,0
IMG_1243.jpg,0,0
IMG_20180723_145744.jpg,0,0
IMG_20180719_123656.jpg,0,0
IMG_20180719_124132.jpg,0,0
IMG_20180721_090127.jpg,0,0
IMG_20180723_144939.jpg,0,0
IMG_20180719_123848.jpg,0,0
IMG_20100101_031841.jpg,0,0
IMG_20180811_083858.jpg,0,0
IMG_20180724_123854.jpg,0,0
IMG_20180720_141952.jpg,0,0
IMG_20180721_091635.jpg,0,0
IMG_20180725_142219.jpg,0,0
IMG_20180721_090612.jpg,0,0
IMG_20180724_120909.jpg,0,0
IMG_20180719_143723.jpg,0,0
IMG_20180714_105021.jpg,0,0
IMG_20180811_083610.jpg,0,0
IMG_20180724_122629.jpg,0,0
